actuator_count,method,noise,sigma,n_runs,steps,exp_sets,trials,final_mean,final_stderr,final_min,final_max
4,Q-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,3458.007543870625,103.04840161145016,1618.8627071454177,5023.98399530337
6,Q-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,4459.685118637414,143.93552596607276,2289.5310243214553,6320.890704329543
8,Q-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,5892.136080588941,177.03002213530732,3240.3687765457576,8104.3622882287555
4,C-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,4193.523875752501,145.8366850137624,1424.8994237333536,6147.3613275662065
6,C-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,6606.403924396262,266.52374829661943,2957.0956048220396,9994.159811384976
8,C-Safe BO,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,11687.219583470896,347.83507106899594,7101.736728876829,15425.30850995332
4,BO-ACL,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,54608.35685684636,617.6906938741436,48059.6494403556,61300.10175038129
6,BO-ACL,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,49192.41330935739,953.8241958938748,38948.94406816736,58424.5280065462
8,BO-ACL,0.010000000000000002,0.1,50,50000,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4,51408.9218053031,1131.9318923465037,40820.73111080378,78384.82128544152
