actuator_count,method,noise,sigma,n_runs,steps,exp_sets,trials,final_mean,final_stderr,final_min,final_max
4,Q-Safe BO,0.010000000000000002,0.1,1,50000,0,2,3879.790209611881,0.0,3879.790209611881,3879.790209611881
6,Q-Safe BO,0.010000000000000002,0.1,1,50000,0,2,3502.5907380942444,0.0,3502.5907380942444,3502.5907380942444
8,Q-Safe BO,0.010000000000000002,0.1,1,50000,0,2,4889.379422939703,0.0,4889.379422939703,4889.379422939703
4,C-Safe BO,0.010000000000000002,0.1,1,50000,0,2,4324.956608839333,0.0,4324.956608839333,4324.956608839333
6,C-Safe BO,0.010000000000000002,0.1,1,50000,0,2,4855.287865310907,0.0,4855.287865310907,4855.287865310907
8,C-Safe BO,0.010000000000000002,0.1,1,50000,0,2,8986.414910707623,0.0,8986.414910707623,8986.414910707623
4,BO-ACL,0.010000000000000002,0.1,1,50000,0,2,49853.22740122676,0.0,49853.22740122676,49853.22740122676
6,BO-ACL,0.010000000000000002,0.1,1,50000,0,2,43334.69009576738,0.0,43334.69009576738,43334.69009576738
8,BO-ACL,0.010000000000000002,0.1,1,50000,0,2,46974.12629136443,0.0,46974.12629136443,46974.12629136443
