0,1
-105.6399409,22.45446261
-108.0,1.70728328e-17
-106.3592706,18.75381482
-106.9490046,15.03031609
-107.4084247,11.28850337
-107.7369708,7.532935953
-107.9342427,3.76818988
105.6399409,22.45446261
104.7553103,26.27403586
103.7326252,30.05898317
102.5732333,33.80431646
101.2786626,37.50509984
99.85061902,41.15645614
98.29098472,44.75357331
96.60181504,48.29171079
94.7853361,51.76620575
92.84394181,55.17247925
90.78019067,58.50604224
88.59680244,61.76250154
86.29665461,64.93756543
83.88277843,68.02704969
81.35835508,71.02688264
78.7267115,73.93311098
75.99131583,76.74190461
73.15577299,79.44956185
70.22381988,82.05251441
67.19932047,84.54733189
64.08626063,86.93072646
60.88874303,89.19955701
57.61098157,91.35083362
54.25729598,93.3817211
50.83210598,95.28954299
47.33992551,97.07178504
43.78535689,98.72609846
40.17308457,100.2503031
36.5078691,101.6423902
32.79454076,102.9005252
29.03799327,104.0230501
25.24317729,105.0084854
21.41509393,105.8555324
17.55878811,106.563075
13.67934198,107.1301806
9.781868165,107.5561019
5.871503059,107.8402775
1.953400035,107.982333
-1.967277328,107.982081
-5.885362063,107.839522
-9.795690614,107.5548439
-13.69310966,107.1284218
-17.57248287,106.5608176
-21.42869773,105.8527794
-25.25667221,105.0052404
-29.05136152,104.0193174
-32.80776472,102.8963098
-36.52093133,101.6376976
-40.18596787,100.2451394
-43.79804429,98.72047059
-47.35240028,97.06570035
-50.84435165,95.28300953
-54.26929646,93.37474744
-57.62272102,91.34342902
-60.90020598,89.19173118
-64.09743197,86.92248969
-67.21018547,84.53869512
-70.23436425,82.04348894
-73.1659828,79.44015961
-76.00117764,76.73213795
-78.73621232,73.92299283
-81.3674824,71.01642634
-83.8915202,68.01626894
-86.30499929,64.92647453
-88.60473909,61.75111504
-90.78770882,58.4943752
-92.85103154,55.16054701
-94.79198803,51.75402402
-96.60802043,48.27929563
-98.29673539,44.7409411
-99.8559074,41.14362354
-101.2834817,37.49208374
-102.5775768,33.79113402
-103.7364874,30.04565177
-104.7586861,26.26057305
-105.6399409,-22.45446261
-107.9342026,-3.769336796
-107.7368907,-7.534080772
-107.4083047,-11.2896447
-106.948845,-15.03145254
-106.3590713,-18.754945
108.0,-9.168436122e-18
107.9342026,3.769336796
107.7368907,7.534080772
107.4083047,11.2896447
106.948845,15.03145254
106.3590713,18.754945
-98.66290941,-43.92755744
-104.7918922,-26.12775031
-103.8161577,-29.76920215
-102.7139265,-33.37438111
-101.4865414,-36.93889442
-100.135498,-40.45839878
-87.37383539,-63.48080724
-97.06967315,-47.34425575
-95.35816043,-50.70326654
-93.53045669,-54.00049693
-91.58878894,-57.23192937
-89.53552303,-60.39362642
-72.26610547,-80.25964114
-85.10504362,-66.49159004
-82.73255398,-69.42135488
-80.2592572,-72.26653189
-77.68816697,-75.02365437
-75.02241606,-77.68936276
-54.0,-93.53074362
-69.42091531,-82.7329228
-66.49113787,-85.10539689
-63.48034303,-87.37417268
-60.39219929,-89.53648567
-57.23046949,-91.58970118
-33.37383539,-102.7141038
-50.70275988,-95.35842984
-47.34374004,-97.06992469
-43.92703327,-98.6631428
-40.45680272,-100.1361429
-36.93727681,-101.4871301
-11.28907403,-107.4083647
-29.76865057,-103.8163159
-26.12719355,-104.792031
-22.45390134,-105.6400602
-18.75324973,-106.3593702
-15.02974786,-106.9490845
11.28907403,-107.4083647
-7.533508362,-107.7369308
-3.768763339,-107.9342227
0.0005738077299,-108.0
3.769910255,-107.9341826
7.534653181,-107.7368507
33.37383539,-102.7141038
15.03088431,-106.9489248
18.75437991,-106.3591709
22.45502388,-105.6398216
26.12830707,-104.7917533
29.76975372,-103.8159996
54.0,-93.53074362
36.93835521,-101.4867376
40.45786677,-100.135713
43.92808165,-98.66267602
47.3447715,-97.06942161
50.70377319,-95.35789106
72.26610547,-80.25964114
57.23144276,-91.58909303
60.39315071,-89.53584394
63.48127146,-87.37349811
66.4920422,-85.10469035
69.42179445,-82.73218512
87.37383539,-63.48080724
75.02324161,-77.68856555
77.68896417,-75.02282882
80.26002512,-72.26567906
82.73329165,-69.42047575
85.10575016,-66.49068571
98.66290941,-43.92755744
89.5361648,-60.392675
91.58939709,-57.23095614
93.53103051,-53.99950307
95.35869921,-50.70225327
97.07017622,-47.34322429
105.6399409,-22.45446261
100.135928,-40.45733476
101.4869339,-36.93781601
102.7142811,-33.37328967
103.8164741,-29.76809899
104.7921698,-26.12663678
106.3592706,-18.75381482
106.9490046,-15.03031609
107.4084247,-11.28850337
107.7369708,-7.532935953
107.9342427,-3.76818988
