force,method,noise,sigma,n_runs,steps,exp_sets,trials,final_mean,final_stderr,final_min,final_max
200,Q-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,3987.9222093190665,36.72972958127807,3841.106937519652,4084.4017374062896
500,Q-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,3828.0659455722316,79.72183774850969,3654.0524917356984,4119.402866079279
1000,Q-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,5095.802213152708,181.06095798914743,4497.334445959109,5587.142731210165
200,C-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,6348.928974320739,62.56579634817286,6192.84682700038,6560.9641272090375
500,C-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,6804.927312999219,197.27335668398126,6155.004863429815,7459.271233279258
1000,C-Safe BO,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,8978.339680051058,408.3883237061395,7633.5358073711395,10508.44147908315
200,BO-ACL,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,14069.327951300143,633.0887072319151,12131.177880562842,15986.524718374014
500,BO-ACL,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,23988.48087553382,412.0203991905295,22657.42987896502,25272.366491377354
1000,BO-ACL,0.010000000000000002,0.1,5,50000,0,0 1 2 3 4,47200.77196061239,402.55983728048534,46144.67337888479,48686.47885624692
