force,method,noise,sigma,n_runs,steps,final_mean,final_stderr,final_ci95_half,ci_lo,ci_hi,final_min,final_max
200,Q-Safe BO,0.010000000000000002,0.1,5,50000,3987.9222093190665,36.72972958127807,101.9780779111783,3885.944131407888,4089.900287230245,3841.106937519652,4084.4017374062896
500,Q-Safe BO,0.010000000000000002,0.1,5,50000,3828.0659455722316,79.72183774850969,221.3433061942228,3606.722639378009,4049.4092517664544,3654.0524917356984,4119.402866079279
1000,Q-Safe BO,0.010000000000000002,0.1,5,50000,5095.802213152708,181.06095798914743,502.70581055139263,4593.096402601315,5598.5080237041,4497.334445959109,5587.142731210165
200,C-Safe BO,0.010000000000000002,0.1,5,50000,6348.928974320739,62.56579634817286,173.71049902368685,6175.2184752970525,6522.639473344426,6192.84682700038,6560.9641272090375
500,C-Safe BO,0.010000000000000002,0.1,5,50000,6804.927312999219,197.27335668398126,547.7186455511792,6257.20866744804,7352.645958550398,6155.004863429815,7459.271233279258
1000,C-Safe BO,0.010000000000000002,0.1,5,50000,8978.339680051058,408.3883237061395,1133.8677623738452,7844.471917677213,10112.207442424904,7633.5358073711395,10508.44147908315
200,BO-ACL,0.010000000000000002,0.1,5,50000,14069.327951300143,633.0887072319151,1757.736042350053,12311.591908950091,15827.063993650196,12131.177880562842,15986.524718374014
500,BO-ACL,0.010000000000000002,0.1,5,50000,23988.48087553382,412.0203991905295,1143.9520205741887,22844.52885495963,25132.43289610801,22657.42987896502,25272.366491377354
1000,BO-ACL,0.010000000000000002,0.1,5,50000,47200.77196061239,402.55983728048534,1117.6852897666258,46083.08667084576,48318.45725037901,46144.67337888479,48686.47885624692
